pricelog,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,Distance_km,accommodation_type_1,accommodation_type_2,entire_home_apt,private_room,accommodates,bathrooms,bedrooms,Real_bed,Wireless_Internet,Breakfast,Free_Parking,instant_bookable,cancellation_policy,Smoking_Allowed,require_guest_profile_picture,require_guest_phone_verification,Reviews_per_years,review_scores_rating
4.382026634673881,0.0,1.0,1.0,1.0,2.7,1,0,1,0,3,1.0,1.0,1,0,0,0,0,0,0,0,0,5.509433962,85.0
5.272999558563747,1.0,1.0,1.0,1.0,1.1,1,0,1,0,6,2.0,3.0,1,1,0,1,0,0,1,0,0,9.279661017,95.0
4.584967478670572,0.0,1.0,1.0,1.0,2.39,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,0,0,0,25.67586207,90.0
4.31748811353631,0.0,1.0,1.0,0.0,2.09,1,0,1,0,2,1.5,1.0,1,1,0,0,0,1,0,0,0,8.676703645,99.0
4.553876891600541,0.0,1.0,1.0,0.0,2.03,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,1.979392625,85.0
5.247024072160486,0.0,1.0,1.0,1.0,2.9,1,0,1,0,6,1.0,2.0,1,1,0,1,0,0,0,0,0,4.00084317,89.0
4.007333185232471,0.0,1.0,1.0,0.0,2.85,1,0,1,0,2,1.0,2.0,1,1,0,0,0,1,0,0,0,0.940721649,80.0
4.700480365792417,1.0,3.0,1.0,1.0,0.65,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,0,0,0,10.74793875,100.0
4.672828834461906,0.0,3.0,1.0,0.0,0.45,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,1,0,0,0.617249154,100.0
4.0943445622221,0.0,1.0,1.0,1.0,0.33,1,0,1,0,2,1.0,2.0,1,1,0,0,0,1,0,0,0,8.816425121,80.0
4.007333185232471,0.0,1.0,1.0,1.0,2.59,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,9.54248366,100.0
3.912023005428146,0.0,1.0,1.0,1.0,1.01,1,0,1,0,2,1.0,0.0,1,1,0,0,0,1,0,0,0,1.198686371,80.0
4.0943445622221,0.0,2.0,1.0,0.0,1.37,0,1,0,1,2,1.0,1.0,0,1,0,0,1,1,0,0,0,11.55334115,92.0
4.382026634673881,0.0,1.0,1.0,0.0,3.0,1,0,1,0,3,1.0,1.0,1,1,0,0,0,0,0,0,0,6.083333333,100.0
5.247024072160486,0.0,2.0,1.0,0.0,2.29,1,0,1,0,6,2.0,3.0,1,1,0,0,0,1,0,0,0,1.758430833,89.0
4.382026634673881,0.0,1.0,1.0,0.0,2.77,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,0,0,1,2.437977099,69.0
4.060443010546419,0.0,1.0,1.0,1.0,2.57,1,0,1,0,2,1.0,0.0,1,1,0,0,1,1,1,0,0,11.18548387,96.0
4.248495242049359,0.0,1.0,1.0,1.0,1.89,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,1.224832215,90.0
5.19295685089021,1.0,1.0,1.0,0.0,2.57,1,0,1,0,5,2.0,3.0,1,1,0,0,0,1,0,0,0,13.51851852,100.0
4.248495242049359,0.0,1.0,1.0,0.0,3.04,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,4.487704918,70.0
3.6375861597263857,0.0,1.0,1.0,0.0,0.53,1,0,1,0,1,1.0,0.0,1,1,0,0,0,1,0,0,0,1.751439539,88.0
3.8501476017100584,0.0,1.0,1.0,0.0,0.46,1,0,1,0,2,0.5,0.0,1,0,0,0,0,0,1,0,0,10.0,70.0
3.6888794541139363,0.0,1.0,1.0,1.0,2.83,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,1.053897979,93.0
5.3230099791384085,0.0,1.0,1.0,0.0,0.67,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,0,0,0,8.072115385,98.0
4.0943445622221,0.0,1.0,1.0,0.0,2.57,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,1,0,0,4.2406639,96.0
4.605170185988092,0.0,1.0,1.0,0.0,2.36,1,0,1,0,3,1.0,2.0,1,1,0,0,0,0,0,0,0,2.299212598,100.0
3.8918202981106265,0.0,1.0,1.0,1.0,1.93,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,8.795180723,90.0
5.043425116919247,0.0,2.0,1.0,0.0,1.78,0,1,1,0,4,1.0,2.0,1,1,1,0,0,0,1,0,0,1.862244898,60.0
4.219507705176107,0.0,1.0,1.0,0.0,1.68,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,4.790026247,80.0
4.700480365792417,0.0,1.0,1.0,1.0,2.52,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,0,0,0,3.547516199,93.0
4.248495242049359,0.0,1.0,1.0,0.0,3.2,1,0,1,0,5,1.0,2.0,1,1,0,0,0,0,1,0,0,9.012345679,100.0
4.31748811353631,0.0,1.0,1.0,0.0,2.32,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,0.765199161,80.0
3.8066624897703196,0.0,1.0,1.0,1.0,0.95,1,0,1,0,2,1.0,0.0,0,0,0,0,0,1,0,0,0,0.547226387,100.0
4.23410650459726,0.0,1.0,1.0,1.0,2.32,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,1,0,0,9.003795066,91.0
4.290459441148391,0.0,1.0,1.0,0.0,1.83,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,1,0,0,6.216545012,80.0
4.605170185988092,0.0,2.0,1.0,0.0,3.16,1,0,1,0,3,1.0,2.0,1,1,0,0,0,0,0,0,0,0.427901524,40.0
3.970291913552122,0.0,4.0,1.0,0.0,0.8,1,0,1,0,2,1.0,1.0,0,1,0,0,0,1,0,0,0,4.853723404,69.0
4.0943445622221,0.0,1.0,1.0,0.0,3.47,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,1,0,0,2.239263804,80.0
4.382026634673881,1.0,1.0,1.0,1.0,2.37,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,15.06067961,97.0
4.653960350157523,1.0,1.0,1.0,0.0,1.91,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,5.784469097,96.0
3.8066624897703196,0.0,1.0,1.0,0.0,2.17,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,2.955465587,96.0
6.309918278226516,0.0,4.0,1.0,1.0,0.68,1,0,1,0,6,2.0,3.0,1,1,0,0,0,1,0,0,0,18.09917355,93.0
4.248495242049359,0.0,1.0,1.0,1.0,2.06,1,0,1,0,2,7.0,1.0,1,1,0,0,0,1,1,0,0,0.391630901,60.0
3.8066624897703196,0.0,1.0,1.0,0.0,2.09,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,9.511400651,88.0
4.74493212836325,0.0,1.0,1.0,0.0,0.99,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,1.153238547,95.0
4.31748811353631,0.0,1.0,1.0,0.0,2.51,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,1.951871658,80.0
5.247024072160486,0.0,1.0,1.0,1.0,2.42,1,0,1,0,5,1.0,3.0,1,1,0,0,0,1,0,0,0,3.244444444,100.0
3.912023005428146,0.0,1.0,1.0,1.0,2.75,1,0,1,0,4,1.0,1.0,1,1,1,0,0,1,0,0,0,0.725646123,100.0
4.499809670330265,0.0,1.0,1.0,1.0,2.72,1,0,1,0,2,1.0,1.0,1,1,1,0,0,1,0,0,0,16.367713,96.0
4.060443010546419,0.0,1.0,1.0,1.0,2.85,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,0,0,0,8.657230298,91.0
4.248495242049359,0.0,1.0,1.0,0.0,2.81,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,1,0,0,4.543568465,90.0
4.382026634673881,0.0,1.0,1.0,1.0,0.57,1,0,1,0,3,1.0,1.0,1,0,0,0,0,0,1,0,0,6.886792453,90.0
4.248495242049359,1.0,1.0,1.0,0.0,2.19,1,0,1,0,3,1.0,1.0,1,1,1,0,0,1,1,0,0,18.06651199,97.0
4.31748811353631,0.0,1.0,1.0,0.0,0.86,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,12.73255814,93.0
4.700480365792417,0.0,1.0,1.0,0.0,0.7,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,1.327272727,100.0
4.9344739331306915,0.0,1.0,1.0,1.0,3.14,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,0,0,0,0.315743945,77.0
4.382026634673881,0.0,1.0,1.0,1.0,1.62,1,0,0,1,2,1.0,1.0,1,1,0,0,0,1,0,0,0,8.268608414,93.0
4.382026634673881,0.0,1.0,1.0,1.0,0.45,1,0,1,0,4,1.0,1.0,0,1,0,0,0,1,0,1,1,20.56062232,90.0
4.5217885770490405,0.0,1.0,1.0,0.0,1.94,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,4.834437086,100.0
4.382026634673881,0.0,1.0,1.0,1.0,2.58,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,0,0,0,0.953002611,100.0
4.174387269895637,0.0,1.0,1.0,1.0,0.75,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,0.664845173,100.0
4.700480365792417,0.0,3.0,1.0,1.0,2.3,1,0,0,1,2,2.0,1.0,1,1,1,0,1,1,0,0,1,0.566770186,93.0
5.247024072160486,0.0,3.0,1.0,1.0,0.28,1,0,1,0,4,1.5,1.0,1,1,0,0,0,1,0,0,0,5.318761384,85.0
3.912023005428146,0.0,1.0,1.0,0.0,2.92,1,0,1,0,2,1.0,1.0,1,1,0,0,1,0,0,0,0,4.735135135,84.0
3.6888794541139363,0.0,2.0,1.0,1.0,0.86,1,0,0,1,1,1.0,1.0,1,1,0,0,0,0,0,0,0,10.31994048,93.0
4.143134726391533,0.0,23.0,1.0,1.0,0.87,1,0,1,0,2,1.0,0.0,1,1,0,0,0,1,0,0,0,2.215958369,94.0
4.700480365792417,0.0,1.0,1.0,0.0,2.19,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,0.873205742,100.0
5.0106352940962555,0.0,1.0,1.0,0.0,0.71,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,1.458541459,100.0
4.0943445622221,0.0,1.0,1.0,0.0,2.67,1,0,0,1,2,1.0,1.0,1,1,0,0,0,0,1,0,0,0.300411523,100.0
4.859812404361672,0.0,1.0,1.0,1.0,2.57,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,1,0,0,14.44591029,88.0
4.31748811353631,0.0,1.0,1.0,0.0,1.06,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,1.398467433,100.0
4.007333185232471,0.0,1.0,1.0,1.0,3.12,1,0,1,0,3,1.0,1.0,1,1,0,0,0,0,0,0,0,5.266955267,91.0
4.31748811353631,0.0,1.0,1.0,0.0,2.46,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,1,0,0,0.800438596,100.0
4.499809670330265,0.0,1.0,1.0,0.0,2.56,1,0,1,0,4,1.0,1.0,1,1,0,0,1,1,0,0,1,6.403508772,91.0
3.8066624897703196,0.0,1.0,1.0,0.0,2.59,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,0.509776536,100.0
4.605170185988092,0.0,1.0,1.0,0.0,0.91,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,4.055555556,85.0
4.382026634673881,0.0,1.0,1.0,0.0,1.68,1,0,1,0,3,1.0,1.0,1,0,1,0,0,0,1,0,0,0.179097154,80.0
4.248495242049359,0.0,1.0,1.0,0.0,2.81,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,1,0,0,4.534161491,90.0
4.867534450455582,0.0,40.0,1.0,0.0,0.77,1,0,1,0,4,1.0,1.0,1,1,1,0,0,1,0,0,1,8.618055556,89.0
4.007333185232471,0.0,1.0,1.0,1.0,2.49,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,5.910931174,93.0
5.521460917862246,0.0,3.0,1.0,0.0,2.24,1,0,1,0,4,2.0,2.0,1,1,0,0,1,0,0,0,0,0.372069317,60.0
4.68213122712422,0.0,1.0,1.0,1.0,0.47,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,1,0,0,38.16993464,90.0
4.382026634673881,0.0,2.0,1.0,1.0,0.66,1,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,1.58008658,80.0
4.204692619390966,0.0,1.0,1.0,0.0,2.66,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,2.632211538,83.0
4.174387269895637,0.0,2.0,1.0,0.0,2.77,1,0,1,0,3,1.0,1.0,1,1,1,0,0,1,0,0,0,1.203296703,90.0
4.248495242049359,0.0,1.0,1.0,0.0,2.5,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,0.459697733,100.0
3.8066624897703196,0.0,1.0,1.0,1.0,1.88,1,0,0,1,1,1.0,1.0,1,1,0,0,0,1,0,0,0,5.925324675,97.0
